epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.478,1.6751,0.53994,1.43889,0.83129,0.65783,0.75555,0.3681,1.80379,0.41744,1.39392,0.0669099,0.000233264,0.000233264
2,783.448,1.57123,0.46041,1.38254,0.85576,0.69385,0.78401,0.4108,1.65422,0.37766,1.3502,0.0338094,0.000466141,0.000466141
3,1133.49,1.52222,0.43881,1.35224,0.87623,0.7094,0.7962,0.43532,1.55172,0.34821,1.28083,0.000707157,0.000697198,0.000697198
4,1475.78,1.48335,0.42072,1.32634,0.877,0.71376,0.80027,0.45441,1.52286,0.33738,1.2545,0.000693863,0.000693863,0.000693863
5,1820.82,1.45123,0.39293,1.30611,0.88097,0.73298,0.8191,0.48123,1.41193,0.31795,1.21318,0.000689114,0.000689114,0.000689114
6,2174.19,1.42565,0.38039,1.28608,0.87258,0.75069,0.82889,0.48213,1.42654,0.30845,1.21212,0.000683041,0.000683041,0.000683041
7,2520.96,1.40267,0.3681,1.27352,0.87355,0.75259,0.83257,0.50162,1.3786,0.30073,1.19244,0.000675668,0.000675668,0.000675668
8,2875.64,1.37973,0.35888,1.26172,0.86765,0.7591,0.83603,0.48424,1.46147,0.29822,1.22074,0.000667023,0.000667023,0.000667023
9,3226.85,1.3651,0.35411,1.2591,0.88775,0.75641,0.84165,0.50542,1.38076,0.2903,1.19104,0.00065714,0.00065714,0.00065714
10,3575.69,1.3568,0.34664,1.2473,0.87661,0.76571,0.84335,0.50808,1.37845,0.29186,1.18931,0.00064606,0.00064606,0.00064606
11,3927.02,1.34383,0.34431,1.24168,0.87906,0.77173,0.84564,0.50395,1.3828,0.28095,1.18626,0.000633824,0.000633824,0.000633824
12,4269.58,1.33581,0.3369,1.23428,0.88236,0.76978,0.85071,0.50995,1.36979,0.27863,1.17298,0.000620483,0.000620483,0.000620483
13,4613.12,1.32592,0.3335,1.22469,0.87478,0.77664,0.84848,0.51745,1.3239,0.27564,1.14546,0.000606088,0.000606088,0.000606088
14,4951.8,1.31674,0.33213,1.21453,0.88322,0.77891,0.85571,0.52495,1.332,0.2662,1.14975,0.000590696,0.000590696,0.000590696
15,5293.75,1.31367,0.32563,1.21279,0.88867,0.78095,0.85713,0.53181,1.31328,0.26624,1.14438,0.000574367,0.000574367,0.000574367
16,5633.77,1.30071,0.32024,1.21095,0.8878,0.78293,0.85754,0.52903,1.32176,0.26237,1.14505,0.000557168,0.000557168,0.000557168
17,5971.08,1.29818,0.31775,1.20351,0.88609,0.7859,0.85943,0.53592,1.28694,0.25684,1.13226,0.000539164,0.000539164,0.000539164
18,6315.13,1.29061,0.31618,1.1981,0.88058,0.79474,0.86352,0.5383,1.27964,0.25531,1.13213,0.000520428,0.000520428,0.000520428
19,6654.6,1.27966,0.30865,1.19216,0.88011,0.7925,0.8635,0.53942,1.27428,0.25282,1.1329,0.000501033,0.000501033,0.000501033
20,6991.85,1.28144,0.30786,1.19372,0.88038,0.79823,0.86704,0.5487,1.26262,0.25104,1.12141,0.000481055,0.000481055,0.000481055
21,7335.37,1.27323,0.30328,1.18669,0.87836,0.8042,0.87026,0.54411,1.29708,0.24927,1.13414,0.000460574,0.000460574,0.000460574
22,7686.56,1.26487,0.30365,1.1834,0.88194,0.80484,0.87086,0.5488,1.27297,0.24798,1.1223,0.000439671,0.000439671,0.000439671
23,8037.6,1.25984,0.29951,1.18136,0.88827,0.80406,0.87453,0.54803,1.28129,0.24402,1.12548,0.000418428,0.000418428,0.000418428
24,8390.67,1.25318,0.2957,1.17802,0.88999,0.79483,0.87155,0.55432,1.24355,0.24278,1.11097,0.000396928,0.000396928,0.000396928
25,8738.32,1.24448,0.29356,1.16955,0.89237,0.79551,0.87222,0.55315,1.25892,0.2419,1.1169,0.000375257,0.000375257,0.000375257
26,9085.28,1.23881,0.29051,1.16771,0.88929,0.80619,0.87693,0.55678,1.25297,0.24094,1.11328,0.0003535,0.0003535,0.0003535
27,9429.11,1.23309,0.28591,1.16266,0.88655,0.80814,0.87737,0.56031,1.24186,0.23761,1.1068,0.000331743,0.000331743,0.000331743
28,9775.38,1.23361,0.28271,1.16341,0.89373,0.80348,0.87941,0.55846,1.25118,0.23657,1.10982,0.000310072,0.000310072,0.000310072
29,10126.3,1.22434,0.28166,1.1604,0.89511,0.80639,0.87967,0.56529,1.23144,0.23467,1.09676,0.000288572,0.000288572,0.000288572
30,10472.3,1.21952,0.27876,1.15341,0.89246,0.80659,0.87916,0.56469,1.2234,0.2325,1.09628,0.000267329,0.000267329,0.000267329
31,10816.2,1.21703,0.27507,1.15669,0.8947,0.80352,0.87932,0.56442,1.23729,0.23254,1.09925,0.000246426,0.000246426,0.000246426
32,11160.2,1.21092,0.27281,1.15294,0.88655,0.81493,0.88204,0.56863,1.21632,0.2305,1.09439,0.000225945,0.000225945,0.000225945
33,11503.8,1.20276,0.26944,1.14285,0.89229,0.81105,0.88324,0.57337,1.20961,0.22848,1.08807,0.000205967,0.000205967,0.000205967
34,11885,1.19755,0.26846,1.14189,0.89214,0.80953,0.88215,0.56944,1.22685,0.22842,1.09292,0.000186572,0.000186572,0.000186572
35,12204.6,1.19007,0.26726,1.13772,0.8896,0.81446,0.88316,0.56976,1.22423,0.22831,1.09296,0.000167836,0.000167836,0.000167836
36,12518.6,1.19202,0.26479,1.13982,0.88804,0.81864,0.8856,0.57235,1.21819,0.22633,1.0911,0.000149832,0.000149832,0.000149832
37,12829.1,1.1885,0.26302,1.13411,0.89296,0.81474,0.88455,0.57417,1.21216,0.2256,1.08959,0.000132633,0.000132633,0.000132633
38,13137.8,1.17873,0.25952,1.13356,0.88883,0.81756,0.88453,0.5734,1.21578,0.22478,1.08906,0.000116304,0.000116304,0.000116304
39,13448.2,1.17853,0.25735,1.13237,0.88913,0.81794,0.88539,0.57355,1.21345,0.22356,1.08896,0.000100912,0.000100912,0.000100912
40,13757.7,1.17523,0.25666,1.1275,0.8947,0.81338,0.88591,0.57569,1.20878,0.22331,1.08762,8.65172e-05,8.65172e-05,8.65172e-05
41,14070.3,1.13041,0.23564,1.1086,0.89108,0.8162,0.88585,0.57856,1.20375,0.22302,1.08499,7.31756e-05,7.31756e-05,7.31756e-05
42,14380.2,1.12734,0.23397,1.10751,0.88979,0.81697,0.88585,0.57858,1.20414,0.22252,1.08477,6.09404e-05,6.09404e-05,6.09404e-05
43,14687.9,1.12718,0.23172,1.10355,0.89088,0.8181,0.88663,0.57852,1.20379,0.22147,1.08436,4.98597e-05,4.98597e-05,4.98597e-05
44,14996.6,1.11816,0.22985,1.10467,0.89118,0.81819,0.88722,0.58139,1.19396,0.22059,1.0809,3.99774e-05,3.99774e-05,3.99774e-05
