epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.579,1.98542,0.58068,1.28826,0.72709,0.4301,0.47988,0.21273,1.84665,0.43073,1.18517,0.0669103,0.000233261,0.000233261
2,707.008,1.84403,0.49732,1.23097,0.71468,0.43997,0.50033,0.21597,1.91824,0.41733,1.21605,0.0338102,0.00046648,0.00046648
3,1005.64,1.80198,0.47097,1.20861,0.75018,0.45806,0.51938,0.227,1.83997,0.40071,1.19242,0.000709596,0.000699244,0.000699244
4,1301.97,1.76225,0.44872,1.19009,0.76491,0.4852,0.54754,0.23763,1.84064,0.37715,1.18107,0.000698462,0.000698462,0.000698462
5,1600.59,1.72354,0.43222,1.18156,0.77089,0.48457,0.55176,0.25332,1.75912,0.36148,1.14289,0.000697268,0.000697268,0.000697268
6,1896.95,1.70703,0.41907,1.16672,0.77244,0.49635,0.56041,0.26213,1.72412,0.35776,1.14721,0.000695734,0.000695734,0.000695734
7,2194.83,1.68412,0.41303,1.16234,0.78612,0.50616,0.57176,0.26,1.79934,0.35971,1.17395,0.000693863,0.000693863,0.000693863
8,2749.09,1.66307,0.40265,1.15367,0.80309,0.51049,0.58055,0.28304,1.61202,0.3332,1.10598,0.000691655,0.000691655,0.000691655
9,3048.57,1.65438,0.3954,1.14551,0.7934,0.51657,0.58714,0.28715,1.61423,0.3287,1.10005,0.000689114,0.000689114,0.000689114
10,3350.27,1.62824,0.38856,1.13699,0.79392,0.51199,0.58664,0.28757,1.58057,0.32685,1.09614,0.000686242,0.000686242,0.000686242
11,3646.21,1.612,0.38286,1.13176,0.79772,0.51784,0.58834,0.28674,1.59666,0.3264,1.09595,0.000683041,0.000683041,0.000683041
12,3943.52,1.60051,0.37822,1.12906,0.79456,0.52725,0.596,0.28542,1.64763,0.32535,1.12161,0.000679515,0.000679515,0.000679515
13,4237.96,1.59817,0.37544,1.12349,0.80741,0.53054,0.60406,0.30049,1.5791,0.31435,1.08854,0.000675668,0.000675668,0.000675668
14,4536.12,1.59123,0.37359,1.12609,0.80665,0.52399,0.59452,0.29022,1.60008,0.31426,1.09119,0.000671502,0.000671502,0.000671502
