epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1369.61,1.68137,1.24843,1.18089,0.78917,0.50471,0.57467,0.31945,1.49172,0.97982,1.1069,0.0670099,0.000333234,0.000333234
2,2626.79,1.51419,1.00767,1.10773,0.81121,0.55316,0.62483,0.35988,1.41661,0.88116,1.05476,0.0339439,0.000600577,0.000600577
3,3836.09,1.45235,0.93901,1.08202,0.8418,0.55326,0.64151,0.37592,1.37454,0.82518,1.04383,0.000811879,0.00080192,0.00080192
4,5064.96,1.41193,0.88512,1.05766,0.84779,0.57171,0.6531,0.38341,1.34234,0.78862,1.02689,0.000703,0.000703,0.000703
5,6258.07,1.37566,0.83982,1.04176,0.86232,0.58219,0.66871,0.39725,1.31187,0.74635,1.01056,0.000604,0.000604,0.000604
6,7442.85,1.33911,0.80617,1.02848,0.85867,0.58874,0.67304,0.4046,1.28232,0.73001,0.99488,0.000505,0.000505,0.000505
7,8637.8,1.30967,0.77452,1.01221,0.86306,0.60032,0.68198,0.41739,1.26469,0.70706,0.9912,0.000406,0.000406,0.000406
8,9813.7,1.29843,0.75617,1.01266,0.86345,0.60919,0.68839,0.42256,1.24366,0.68828,0.98311,0.000307,0.000307,0.000307
9,10984.9,1.27238,0.72928,1.00281,0.86979,0.61814,0.70002,0.43217,1.22043,0.66446,0.97369,0.000208,0.000208,0.000208
10,12153.2,1.24145,0.70039,0.99106,0.8641,0.62357,0.70225,0.43618,1.21517,0.65058,0.97242,0.000109,0.000109,0.000109
